refid,date,recipient,recipient_cleaned,office,amount
1412,06/16/2014,Paul Iannuccillo,M. Paul Iannuccillo,Registrar of Deeds,200.00
1412,06/18/2014,Anthony Gullini,Anthony Gulluni,Hampden County District Attorney,100.00
1412,06/24/2014,Ben Downing,Benjamin Downing,"State Senator, Berkshire, Hampshire, Franklin and Hampden",200.00
1412,06/24/2014,James O'Day,James J. O'Day,"State Representative, Foutreenth Worcester",125.00
1412,06/25/2014,Committee for a Democratic House,Committee for a Democratic House,PAC,200.00
1412,02/12/2014,Kenneth Donnelly,Kenneth Donnelly,"State Senate, 4th Middlesex",150.00
1412,02/26/2014,Michael Moore,Michael Moore,"State Senate, 2nd Worcester",200.00
1412,03/05/2014,Brian Dempsey,Brian Dempsey,"House of Representatives, 3rd Essex",200.00
1412,03/19/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senate, Hampshire, Franklin & Worcester",200.00
1412,03/19/2014,Jason Lewis,Jason Lewis,"State Senate, 5th Middlesex",150.00
1412,03/26/2014,Ronald Mariano,Ronald Mariano,"House of Representatives, 3rd Norfolk",200.00
1412,03/27/2014,Barry Finegold,Barry Finegold,State Treasurer,150.00
1412,04/01/2014,Stephen Brewer,Stephen Brewer,"State Senate, Worcester, Hampden, Hampshire & Middlesex",150.00
1412,04/01/2014,Robert DeLeo,Robert DeLeo,"House of Representatives, 19th Suffolk",200.00
1412,04/02/2014,Claire Cronin,Claire Cronin,"House of Representatives, 11th Plymouth",150.00
1412,04/02/2014,Bradley Jones,Bradley H. Jones,"House of Representatives, 20th Middlesex",200.00
1412,04/03/2014,Michael Costello,Michael Costello,"House of Representatives, 1st Essex",150.00
1412,04/17/2014,Joseph Wagner,Joseph F. Wagner,"House of Representatives, 8th Hampden",200.00
1412,04/30/2014,Angelo Puppolo,Angelo Puppolo,"House of Representatives, 12th Hampden",200.00
1412,05/07/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,State Senate,200.00
1412,05/09/2014,Sal DiDomenico,Sal DiDomenico,"State Senate, Middlesex, Suffolk & Essex",200.00
1412,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,HOuse of Representatives,200.00
1412,05/16/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senate, 1st Suffolk & Middlesex",200.00
1412,05/21/2014,Martha Coakley,Martha Coakley,Governor,200.00
1412,06/19/2014,Thomas Conroy,Thomas Conroy,State Treasurer,200.00
1412,06/20/2014,Gullini,Anthony Gulluni,Hampden County District Attorney,200.00
1412,02/26/2014,Michael Moore,Michael Moore,Senate - 2nd Worcester,200.00
1412,03/05/2014,Brian Dempsey,Brian Dempsey,Representative,200.00
1412,03/19/2014,Stanley Rosenberg,Stanley Rosenberg,Senate - Hampshire & Franklin,200.00
1412,03/19/2014,Jason Lewis,Jason Lewis,Senate - 31st Middlesex,150.00
1412,03/26/2014,Ronald Mariano,Ronald Mariano,Representative - Quincy,200.00
1412,04/01/2014,Robert DeLeo,Robert DeLeo,Representative - Winthrop,200.00
1412,04/30/2014,Angelo Puppolo,Angelo Puppolo,Representative - Springfield,200.00
1412,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1412,05/14/2014,Martha Coakley,Martha Coakley,Governor,200.00
1412,05/15/2014,Anthony Petrucelli,Anthony Petruccelli,Senate - 1st Suffolk & Middlesex,200.00
1412,05/21/2014,Aaron Michlewitz,Aaron Michlewitz,Representative - Boston,200.00
1412,06/18/2014,Thomas Golden,Thomas A. Golden,Representative - Lowell,200.00
1412,06/19/2014,Thomas Conroy,Thomas Conroy,Treasurer,200.00
1412,06/19/2014,Anthony Gulluni,Anthony Gulluni,District Atty - Hampden County,100.00
1412,06/26/2014,Commitee for a Democratic House,Committee for a Democratic House,PAC,200.00
1412,07/08/2014,James O'Day Committee,James J. O'Day,Representative-Fourteenth Worcester,125.00
1412,07/17/2014,Marc Pacheco Committee,Marc R. Pacheco,Senate- First Plymouth and Bristol,200.00
1412,07/21/2014,Michael Rodrigues Committee,Michael J. Rodrigues,Senate-First Bristol and Plymouth,200.00
1412,07/25/2014,Dianna Dizoglio Committee,Diana DiZoglio,Representative- Fourteenth essex,100.00
1412,09/10/2014,Vinny deMacedo Committee,Viriato deMacedo,Senate- Plymouth and Barnstable,200.00
1412,09/10/2014,Paul Brodeur Committee,Paul Brodeur,Representative-32nd Middlesex,100.00
1412,10/02/2014,Eric Lesser Committee,Eric Lesser,Senate- First Hampden and Hampshire,100.00
1412,10/15/2014,O'Connor Ives Committee,Kathleen O'Connor Ives,Senate- First Essex,100.00
1412,10/23/2014,Marty Walsh Committee,Martin Walsh,Mayor-Boston,200.00
1412,10/23/2014,Maura Healey Committee,Maura Healey,Attorney General,100.00
1412,11/18/2014,Kate Hogan Committee,Kate Hogan,Representative- Third Middlesex,100.00
1412,12/15/2014,Brad Jones Committee,Bradley H. Jones,Representative-Twentieth Middlesex,200.00
1412,12/15/2014,Hannah Kane Committee,Hannah Kane,Representative-,100.00
1412,12/15/2014,Geoff Diehl Committee,Geoff Diehl,Representative- Seventh Plymouth,200.00
1412,12/27/2014,Bruce Tarr Committee,Bruce Tarr,Senate- First Essex and Middlesex,200.00
1412,07/21/2014,James Welch,James T. Welch,State Senate - Hampden,150.00
1412,07/21/2014,John Scibak,John Scibak,State Representative - 2nd Hampshire,200.00
1412,07/21/2014,Aaron Michlewitz,Aaron Michlewitz,State Representative - 3rd Suffolk,150.00
1412,07/21/2014,Thomas Golden Jr,Thomas A. Golden,State Representative - 16th Middlesex,150.00
1412,07/21/2014,Benjamin Downing,Benjamin Downing,"State Senate - Berkshire, Hampshire & Franklin",200.00
1412,09/02/2014,Vincent DeMacedo,Viriato deMacedo,State Senate - Plymouth & Barnstable,150.00
1412,10/02/2014,Eric Lesser,Eric Lesser,State Senate - 1st Hampden & Hampshire,100.00
1412,10/15/2014,Charlie Baker,Charles Baker,Governor,200.00
1412,10/15/2014,Michael O'Keefe,Michael O'Keefe,Cape & Islands District Attorney,200.00
1412,10/27/2014,Eric Lesser,Eric Lesser,State Senate - 1st Hampden & Hampshire,100.00
1412,11/15/2014,Kate Hogan,Kate Hogan,State Representative - 3rd Middlesex,100.00
1412,11/15/2014,Stephen Kulik,Stephen Kulik,State Representative - 1st Franklin,100.00
1412,12/15/2014,Hannah Kane,Hannah Kane,State Representative - 11th Worcester,100.00
1412,07/15/2014,Barbara L'Italian,Barbara L'Italien,Senate - Second Essex & Middlesex,200.00
1412,07/16/2014,Diane Dizoglio,Diana DiZoglio,Representative - Methuen,100.00
1412,07/21/2014,Michael Rodrigues,Michael J. Rodrigues,Senator - 1st Bristol & Plymouth,200.00
1412,07/23/2014,John Lawn,John J. Lawn,Representative - Watertown,125.00
1412,07/29/2014,Michael Moran,Michael J. Moran,Representative - Brighton,125.00
1412,10/02/2014,Eric Lesser,Eric Lesser,Senator - First Hampden & Hampshire,200.00
1412,10/03/2014,Paul Brodeur,Paul Brodeur,Representative - Melrose,125.00
1412,10/03/2014,Antonio Cabral,Antonio Cabral,Representative - Fall River,125.00
1412,10/03/2014,Danial Wolf,Daniel Wolf,Senator - Cape & Islands,200.00
1412,10/03/2014,Edward Coppinger,Edward Coppinger,Representative - West Roxbury,200.00
1412,10/03/2014,Michael Rush,Mike Rush,Senator - Suffolk & Norfolk,200.00
1412,10/03/2014,Kay Khan,Kay Khan,Representative - Newton,200.00
1412,10/03/2014,Denise Garlick,Denise Garlick,Representative - Needham,150.00
1412,10/15/2014,Kate Hogan,Kate Hogan,Representative - Stowe,100.00
1412,10/15/2014,Steven Kulik,Stephen Kulik,Representative - South Deerfield,150.00
1412,10/22/2014,Martin Walsh,Martin Walsh,Mayor - City of Boston,200.00
1412,10/23/2014,Maura Healey,Maura Healey,Attorney General,150.00
1412,12/10/2014,Lou Kafka,Louis Kafka,Representative - Sharon,125.00
1412,12/10/2014,Mark Pacheco,Marc R. Pacheco,Senate - 1st Plymouth & Bristol,150.00
1412,12/10/2014,Garrett Bradley,Garrett Bradley,Representative - Hingham,100.00
1412,12/10/2014,Bruce Tarr,Bruce Tarr,Senate - 1st Essex & Middlesex,150.00
1412,12/15/2014,Hannah Kane,Hannah Kane,Representative - 11th Worcester,100.00
1412,09/19/2014,Martha Coakley,Martha Coakley,Governor,100.00
1412,10/15/2014,Martha Coakley,Martha Coakley,Governor,100.00
1412,10/23/2014,Eric Lesser,Eric Lesser,Senator - Hampden & Hampshire,50.00
1418,03/10/2014,GOP House Leadership PAC,GOP House Leadership PAC,"State Representatives (Bradley H. Jones, Jr., House Republican Leader, 20th Middlesex District)",150.00
1418,03/12/2014,"Committee for Bob DeLeo, Robert A. DeLeo",Robert DeLeo,"State Representative, 19th Suffolk Didtrict",150.00
1418,03/26/2014,Charles Baker Committee,Charles Baker,"Governor, Commonwealth of Massachusetts",50.00
1418,10/08/2014,Charles Baker Committee,Charles Baker,Governor,100.00
1418,10/16/2014,MA House Republican PAC,Mass. Republican House PAC,House of Representatives,50.00
1418,10/16/2014,James Kelcourse,James Kelcourse,"State Representatative, First Essex",100.00
1424,05/11/2014,Martha Coakley,Martha Coakley,"Governor
State Wide",200.00
1424,09/14/2014,Maura Healey,Maura Healey,Attorney General,200.00
1424,09/24/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1424,09/25/2014,Charles Baker,Charles Baker,Governor,200.00
1424,10/03/2014,Stanley Rosenberg,Stanley Rosenberg,State Senate,200.00
1427,02/05/2014,Kay Khan Committee,Kay Khan,"House, 11th Middlesex",100.00
1427,03/05/2014,Brian Dempsey Committee,Brian Dempsey,"House, 3rd Essex",100.00
1427,03/05/2014,Jeff Sanchez Committee,Jeffrey Sánchez,"House, 15th Suffolk",100.00
1427,03/06/2014,MHAPAC,MHA PAC,PAC,125.00
1427,03/13/2014,Richard Moore Committee,Richard Moore,"Senate, Worcester & Norfolk",200.00
1427,03/13/2014,James Welch Committee,James T. Welch,"Senate, Hampden",200.00
1427,03/18/2014,Charlie Baker Committee,Charles Baker,Candidate for Governor,100.00
1427,03/31/2014,Barry Finegold Committee,Barry Finegold,"Senate, 2nd Essex & Middlesex",125.00
1427,04/01/2014,Stephen Brewer Committee,Stephen Brewer,"Senate, Worcester, Hampden, Hampshire, Middlesex",100.00
1427,04/03/2014,Therese Murray Committee,Therese Murray,"Senate, Plymouth & Barnstable",200.00
1427,04/09/2014,Ron Mariano Committee,Ronald Mariano,"House, 3rd Norfolk",100.00
1427,04/09/2014,Jason Lewis Committee,Jason Lewis,"House, 31st Middlesex",100.00
1427,05/06/2014,Robert DeLeo Committee,Robert DeLeo,"House, 19th Suffolk",100.00
1427,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Senate,150.00
1427,07/11/2014,Mike Day Committee,Michael S. Day,"House, 31st Middlesex",100.00
1427,07/23/2014,McCormick,Jeffrey McCormick,Governor,100.00
1427,09/19/2014,Baker Committee,Charles Baker,Governor,100.00
1427,09/19/2014,Polito Committee,Karyn Polito,Lt. Governor,100.00
1427,09/30/2014,Rosenberg Committee,Stanley Rosenberg,"Senate, Hampshire, Franklin & Worcester",200.00
1427,10/01/2014,Polito Committee,Karyn Polito,Lt. Governor,100.00
1427,10/16/2014,Maura Healey Committee,Maura Healey,Attorney General,125.00
1427,12/17/2014,Spilka Committee,Karen Spilka,"Senate, 2nd Middlesex & Norfolk",100.00
1431,04/28/2014,Polito Committee,Karyn Polito,Lieutenant Governor,200.00
1431,05/19/2014,Steve Tompkins,Steven Tompkins,Suffolk County Sheriff,200.00
1431,06/02/2014,Baker Committee,Charles Baker,Governor,200.00
1431,07/24/2014,Boronski for Senate,Debra Boronski,"State Senate, 1st Hampden-Hampshire",200.00
1431,08/13/2014,Anthony Gulluni,Anthony Gulluni,Hampden County District Attorney,200.00
1431,12/30/2014,Dan Knapik Committee,Dan Knapik,"Mayor, City of Westfield",200.00
1435,02/27/2014,Daniel Hunt,Daniel Hunt,Thirteenth Suffolk (House),250.00
1435,04/03/2014,Therese Murray,Therese Murray,Plymouth and Barnstable (Senate),100.00
1435,06/16/2014,Karen Spilka,Karen Spilka,Second Middlesex & Norfolk (Senate),100.00
1435,06/18/2014,James O'Day,James J. O'Day,Fourteenth Worcester (House),100.00
1435,07/17/2014,Thomas Conroy,Thomas Conroy,State Treasurer,200.00
1435,07/31/2014,Maura Healy,Maura Healey,State Attorney General,50.00
1439,02/12/2014,Edward Coppinger,Edward Coppinger,"House of Representatives, 10th Suffolk",200.00
1439,02/23/2014,Robert Consalvo,Robert Consalvo,"Mayor, City of Boston, Debt Campaign Account",100.00
1439,02/26/2014,David Muradian,David Muradian,"Candidate for House of Representatives, 9th Worcester",200.00
1439,02/27/2014,Harriette Chandler,Harriette Chandler,"Senate, First Worcester",200.00
1439,03/12/2014,Deb Goldberg,Deborah Goldberg,State Treasurer,200.00
1439,03/12/2014,James Welch,James T. Welch,"Senate, Hampden",200.00
1439,03/13/2014,Tackey Chan,Tackey Chan,"House of Representatives, 2nd Norfolk",200.00
1439,03/20/2014,Richard Moore,Richard Moore,"Senate, Worcester & Norfolk",200.00
1439,03/26/2014,Robert DeLeo,Robert DeLeo,"House of Representatives, 19th Suffolk",200.00
1439,03/26/2014,Alan Silvia,Alan Silvia,"House of Representatives, 7th Bristol",200.00
1439,03/26/2014,Sarah Peake,Sarah Peake,"House of Representatives, 4th Barnstable",200.00
1439,03/27/2014,Ronald Mariano,Ronald Mariano,"House of Representatives, 3rd Norfolk",200.00
1439,04/02/2014,Stephen Kulik,Stephen Kulik,"Senate, First Franklin",200.00
1439,04/03/2014,Therese Murray,Therese Murray,"Senate, Plymouth & Barnstable",200.00
1439,04/09/2014,Michael Moore,Michael Moore,"Senate, Second Worcester",200.00
1439,04/09/2014,Mark Cusack,Mark J. Cusack,"House of Representatives, 5th Norfolk",200.00
1439,04/09/2014,Ann-Margaret Ferrante,Ann-Margaret Ferrante,"House of Representatives, 5th Essex",200.00
1439,04/16/2014,Jennifer Flanagan,Jennifer L. Flanagan,"Senate, Worcester and Middlesex",200.00
1439,04/16/2014,Karen Spilka,Karen Spilka,"Senate, Second Middlesex and Norfolk",200.00
1439,04/16/2014,Harold Naughton,Harold Naughton,"House of Representatives, 12th Worcester",200.00
1439,04/16/2014,John Mahoney,John J. Mahoney,"House of Representatives, 13th Worcester",200.00
1439,04/16/2014,John Scibak,John Scibak,"House of Representatives, 2nd Hampshire",200.00
1439,05/01/2014,Anthony Petruccelli,Anthony Petruccelli,"Senate, First Suffolk & Middlesex",200.00
1439,05/05/2014,Ellen Story,Ellen Story,"House of Representatives, 3rd Hampshire",200.00
1439,05/07/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1439,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,Committee for a Democratic House,200.00
1439,05/27/2014,Linda Dorcena Forry,Linda Dorcena Forry,"Senate, First Suffolk",200.00
1439,06/18/2014,James O'Day,James J. O'Day,"House of Representatives, 14th Worcester",100.00
1439,06/25/2014,Benjamin Downing,Benjamin Downing,"Senate; Berkshire, Hampshire, Franklin, and Hampden",200.00
1439,06/26/2014,Joan Lovely,Joan Lovely,"Senate, Second Essex",200.00
1439,06/11/2014,David Muradian,David Muradian,"House of Representatives, 9th Worcester",100.00
1439,01/29/2014,Christopher Fallon,Christopher G. Fallon,"House of Representatives, 33rd Middlesex",200.00
1439,03/18/2014,Paul Donato,Paul Donato,"House of Representatives, 35th Middlesex",200.00
1439,03/19/2014,Jason Lewis,Jason Lewis,"Senate, Fifth Middlesex",200.00
1439,03/20/2014,Richard Moore,Richard Moore,"Senate, Worcester & Norfolk",200.00
1439,03/26/2014,Robert DeLeo,Robert DeLeo,"House of Representatives, 19th Suffolk",200.00
1439,03/27/2014,Ronald Mariano,Ronald Mariano,"House of Representatives, 3rd Norfolk",200.00
1439,04/01/2014,Stephen Brewer,Stephen Brewer,"Senate; Worcester, Hampden, Hampshire, and Middlesex",200.00
1439,04/01/2014,Michael McGlynn,Michael McGlynn,"Mayor, City of Medford",200.00
1439,04/02/2014,Mark Cusack,Mark J. Cusack,"House of Representatives, 5th Norfolk",200.00
1439,04/02/2014,Aaron Michlewitz,Aaron Michlewitz,"House of Representatives, 3rd Suffolk",200.00
1439,04/02/2014,Steve Kulik,Stephen Kulik,"House of Representatives, First Franklin",200.00
1439,04/02/2014,Matt O'Malley,Matt O'Malley,"Boston City Council, District 6",200.00
1439,04/16/2014,John Scibak,John Scibak,"House of Representatives, 2nd Hampshire",200.00
1439,04/16/2014,Paul Brodeur,Paul Brodeur,"House of Representatives, 32nd Middlesex",200.00
1439,04/16/2014,John Mahoney,John J. Mahoney,"House of Representatives, 13th Worcester",200.00
1439,04/16/2014,Harold Naughton,Harold Naughton,"House of Representatives, 12th Worcester",200.00
1439,04/16/2014,Karen Spilka,Karen Spilka,"Senate, Second Middlesex & Norfolk",200.00
1439,04/16/2014,Jennifer Flanagan,Jennifer L. Flanagan,"Senate, Worcester and Middlesex",200.00
1439,05/01/2014,Anthony Petruccelli,Anthony Petruccelli,"Senate, First Suffolk & Middlesex",200.00
1439,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1439,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,Committee for a Democratic House,200.00
1439,05/14/2014,Thomas Kennedy,Thomas P. Kennedy,"Senate, Second Plymouth & Bristol",200.00
1439,05/14/2014,James Timilty,James Timilty,"Senate, Bristol & Norfolk",200.00
1439,06/05/2014,Warren Tolman,Warren Tolman,"Attorney General, Commonwealth of Massachusetts",200.00
1439,06/11/2014,David Muradian,David Muradian,"House of Representatives, 9th Worcester",200.00
1439,06/17/2014,David Nangle,David M. Nangle,"House of Representatives, 17th Middlesex",200.00
1439,06/18/2014,Timothy Toomey,Timothy Toomey,"House of Representatives, 26th Middlesex",200.00
1439,06/18/2014,James O'Day,James J. O'Day,"House of Representatives, 14th District",200.00
1439,06/18/2014,Thomas Golden,Thomas A. Golden,"House of Representatives, 16th Middlesex",200.00
1439,06/18/2014,Kevin Honan,Kevin G. Honan,"House of Representatives, 17th Suffolk",200.00
1439,06/18/2014,Daniel Conley,Daniel F. Conley,Suffolk County District Attorney,200.00
1439,06/25/2014,Benjamin Downing,Benjamin Downing,"Senate; Berkshire, Hampshire, Franklin, and Hampden",200.00
1439,06/26/2014,Joan Lovely,Joan Lovely,"Senate, Second Essex",200.00
1439,01/28/2014,Anthony Petruccelli,Anthony Petruccelli,"Senate, First Suffolk & Middlesex",200.00
1439,01/30/2014,Richard Moore,Richard Moore,"Senate, Worcester and Norfolk",200.00
1439,02/12/2014,Edward Coppinger,Edward Coppinger,"House of Representatives, 10th Suffolk",200.00
1439,03/26/2014,Sal LaMattina,Sal LaMattina,"Boston City Council, D1",100.00
1439,03/27/2014,Ronald Mariano,Ronald Mariano,"House of Representatives, 3rd Norfolk",200.00
1439,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,"Senate, First Essex",200.00
1439,04/03/2014,Barry Finegold,Barry Finegold,"Senate, Second Essex & Middlesex",200.00
1439,04/15/2014,Aaron Michlewitz,Aaron Michlewitz,"House of Representatives, 3rd Suffolk",200.00
1439,04/16/2014,Paul Brodeur,Paul Brodeur,"House of Representatives, 32nd Middlesex",200.00
1439,04/16/2014,Tackey Chan,Tackey Chan,"House of Representatives, 2nd Norfolk",200.00
1439,04/18/2014,John Sciback,John Scibak,"House of Representatives, 2nd Hampshire",200.00
1439,05/14/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1439,05/14/2014,James Timilty,James Timilty,"Senate, Bristol & Norfolk",200.00
1439,05/14/2014,Thomas Kennedy,Thomas P. Kennedy,"Senate, Second Plymouth & Bristol",200.00
1439,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,Committee for a Democratic House,200.00
1439,05/22/2014,Thomas McGee,Thomas McGee,"Senate, Third Essex",200.00
